linux; GNU C++ version 5.3.1 20151219; Boost_105800; UHD_003.009.002-0-unknown

-- Detected Device: B210
-- Operating over USB 2.
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 16.000000 MHz... 
-- Actually got clock rate 16.000000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
-- Setting master clock rate selection to 'automatic'.
Using Volk machine: generic_orc
gain = 38.0
2018-09-03 22:55:13.447758 center_freq 915803375.0 freq 915607810.484 power_db -120.215052975
2018-09-03 22:55:13.447928 center_freq 915803375.0 freq 915614060.484 power_db -119.73348761
2018-09-03 22:55:13.447994 center_freq 915803375.0 freq 915620310.484 power_db -119.509384165
2018-09-03 22:55:13.448056 center_freq 915803375.0 freq 915626560.484 power_db -118.716937055
2018-09-03 22:55:13.448117 center_freq 915803375.0 freq 915632810.484 power_db -116.350146113
2018-09-03 22:55:13.448178 center_freq 915803375.0 freq 915639060.484 power_db -116.037175722
2018-09-03 22:55:13.448238 center_freq 915803375.0 freq 915645310.484 power_db -117.51866333
2018-09-03 22:55:13.448299 center_freq 915803375.0 freq 915651560.484 power_db -116.954001428
2018-09-03 22:55:13.448359 center_freq 915803375.0 freq 915657810.484 power_db -116.66963282
2018-09-03 22:55:13.448419 center_freq 915803375.0 freq 915664060.484 power_db -117.090488426
2018-09-03 22:55:13.448479 center_freq 915803375.0 freq 915670310.484 power_db -116.527712353
2018-09-03 22:55:13.448540 center_freq 915803375.0 freq 915676560.484 power_db -115.614907453
2018-09-03 22:55:13.448599 center_freq 915803375.0 freq 915682810.484 power_db -114.431922851
2018-09-03 22:55:13.448660 center_freq 915803375.0 freq 915689060.484 power_db -113.726570321
2018-09-03 22:55:13.448720 center_freq 915803375.0 freq 915695310.484 power_db -113.724343041
2018-09-03 22:55:13.448780 center_freq 915803375.0 freq 915701560.484 power_db -113.721012146
2018-09-03 22:55:13.448840 center_freq 915803375.0 freq 915707810.484 power_db -113.692588642
2018-09-03 22:55:13.448900 center_freq 915803375.0 freq 915714060.484 power_db -113.650397381
2018-09-03 22:55:13.448960 center_freq 915803375.0 freq 915720310.484 power_db -113.004082388
2018-09-03 22:55:13.449021 center_freq 915803375.0 freq 915726560.484 power_db -112.862205176
2018-09-03 22:55:13.449082 center_freq 915803375.0 freq 915732810.484 power_db -111.99247897
2018-09-03 22:55:13.449141 center_freq 915803375.0 freq 915739060.484 power_db -112.779935869
2018-09-03 22:55:13.449201 center_freq 915803375.0 freq 915745310.484 power_db -112.503764613
2018-09-03 22:55:13.449261 center_freq 915803375.0 freq 915751560.484 power_db -111.478404976
2018-09-03 22:55:13.449321 center_freq 915803375.0 freq 915757810.484 power_db -111.097819052
2018-09-03 22:55:13.449381 center_freq 915803375.0 freq 915764060.484 power_db -111.051806504
2018-09-03 22:55:13.449441 center_freq 915803375.0 freq 915770310.484 power_db -109.822157931
2018-09-03 22:55:13.449501 center_freq 915803375.0 freq 915776560.484 power_db -109.411545155
2018-09-03 22:55:13.449561 center_freq 915803375.0 freq 915782810.484 power_db -108.496203759
2018-09-03 22:55:13.449620 center_freq 915803375.0 freq 915789060.484 power_db -107.46578748
2018-09-03 22:55:13.449680 center_freq 915803375.0 freq 915795310.484 power_db -103.108725754
2018-09-03 22:55:13.449740 center_freq 915803375.0 freq 915801560.484 power_db -100.806861093
2018-09-03 22:55:13.449800 center_freq 915803375.0 freq 915807810.484 power_db -102.769863706
2018-09-03 22:55:13.449860 center_freq 915803375.0 freq 915814060.484 power_db -104.952651967
2018-09-03 22:55:13.449920 center_freq 915803375.0 freq 915820310.484 power_db -109.032374623
2018-09-03 22:55:13.449980 center_freq 915803375.0 freq 915826560.484 power_db -109.884712127
2018-09-03 22:55:13.450039 center_freq 915803375.0 freq 915832810.484 power_db -109.006026996
2018-09-03 22:55:13.450108 center_freq 915803375.0 freq 915839060.484 power_db -109.645911837
2018-09-03 22:55:13.450169 center_freq 915803375.0 freq 915845310.484 power_db -111.436154333
2018-09-03 22:55:13.450230 center_freq 915803375.0 freq 915851560.484 power_db -110.379082546
2018-09-03 22:55:13.450291 center_freq 915803375.0 freq 915857810.484 power_db -110.190107467
2018-09-03 22:55:13.450352 center_freq 915803375.0 freq 915864060.484 power_db -111.837902667
2018-09-03 22:55:13.450412 center_freq 915803375.0 freq 915870310.484 power_db -112.929365764
2018-09-03 22:55:13.450472 center_freq 915803375.0 freq 915876560.484 power_db -113.67514488
2018-09-03 22:55:13.450659 center_freq 915803375.0 freq 915882810.484 power_db -113.130761776
2018-09-03 22:55:13.450730 center_freq 915803375.0 freq 915889060.484 power_db -113.354262699
2018-09-03 22:55:13.450804 center_freq 915803375.0 freq 915895310.484 power_db -113.458835443
2018-09-03 22:55:13.450873 center_freq 915803375.0 freq 915901560.484 power_db -113.359500718
2018-09-03 22:55:13.450935 center_freq 915803375.0 freq 915907810.484 power_db -113.110074236
2018-09-03 22:55:13.450996 center_freq 915803375.0 freq 915914060.484 power_db -114.805774936
2018-09-03 22:55:13.451057 center_freq 915803375.0 freq 915920310.484 power_db -114.738634457
2018-09-03 22:55:13.451117 center_freq 915803375.0 freq 915926560.484 power_db -115.594485258
2018-09-03 22:55:13.451177 center_freq 915803375.0 freq 915932810.484 power_db -115.313746835
2018-09-03 22:55:13.451237 center_freq 915803375.0 freq 915939060.484 power_db -115.325989177
2018-09-03 22:55:13.451297 center_freq 915803375.0 freq 915945310.484 power_db -116.024008494
2018-09-03 22:55:13.451357 center_freq 915803375.0 freq 915951560.484 power_db -116.640108123
2018-09-03 22:55:13.451417 center_freq 915803375.0 freq 915957810.484 power_db -116.726954871
2018-09-03 22:55:13.451477 center_freq 915803375.0 freq 915964060.484 power_db -117.597707864
2018-09-03 22:55:13.451537 center_freq 915803375.0 freq 915970310.484 power_db -118.209324791
2018-09-03 22:55:13.451597 center_freq 915803375.0 freq 915976560.484 power_db -118.811017794
2018-09-03 22:55:13.451657 center_freq 915803375.0 freq 915982810.484 power_db -118.880895405
2018-09-03 22:55:13.451717 center_freq 915803375.0 freq 915989060.484 power_db -119.510819412
2018-09-03 22:55:13.945923 center_freq 915803375.0 freq 915607810.484 power_db -120.294160147
2018-09-03 22:55:13.946084 center_freq 915803375.0 freq 915614060.484 power_db -119.459659489
2018-09-03 22:55:13.946149 center_freq 915803375.0 freq 915620310.484 power_db -118.57784423
2018-09-03 22:55:13.946211 center_freq 915803375.0 freq 915626560.484 power_db -119.322795062
2018-09-03 22:55:13.946272 center_freq 915803375.0 freq 915632810.484 power_db -118.8169769
2018-09-03 22:55:13.946333 center_freq 915803375.0 freq 915639060.484 power_db -116.926952574
2018-09-03 22:55:13.946393 center_freq 915803375.0 freq 915645310.484 power_db -116.944285393
2018-09-03 22:55:13.946454 center_freq 915803375.0 freq 915651560.484 power_db -116.825328634
2018-09-03 22:55:13.946514 center_freq 915803375.0 freq 915657810.484 power_db -117.09408899
2018-09-03 22:55:13.946575 center_freq 915803375.0 freq 915664060.484 power_db -115.50713405
2018-09-03 22:55:13.946635 center_freq 915803375.0 freq 915670310.484 power_db -115.830949666
2018-09-03 22:55:13.946696 center_freq 915803375.0 freq 915676560.484 power_db -115.175788938
2018-09-03 22:55:13.946756 center_freq 915803375.0 freq 915682810.484 power_db -114.727277118
2018-09-03 22:55:13.946817 center_freq 915803375.0 freq 915689060.484 power_db -114.450063708
2018-09-03 22:55:13.946877 center_freq 915803375.0 freq 915695310.484 power_db -113.248951182
2018-09-03 22:55:13.946937 center_freq 915803375.0 freq 915701560.484 power_db -113.134419643
2018-09-03 22:55:13.946998 center_freq 915803375.0 freq 915707810.484 power_db -112.329737298
2018-09-03 22:55:13.947059 center_freq 915803375.0 freq 915714060.484 power_db -113.184876694
2018-09-03 22:55:13.947119 center_freq 915803375.0 freq 915720310.484 power_db -112.249149998
2018-09-03 22:55:13.947180 center_freq 915803375.0 freq 915726560.484 power_db -112.392767414
2018-09-03 22:55:13.947240 center_freq 915803375.0 freq 915732810.484 power_db -112.10715829
2018-09-03 22:55:13.947301 center_freq 915803375.0 freq 915739060.484 power_db -111.172011501
