linux; GNU C++ version 5.3.1 20151219; Boost_105800; UHD_003.009.002-0-unknown

-- Detected Device: B210
-- Operating over USB 2.
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 16.000000 MHz... 
-- Actually got clock rate 16.000000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
-- Setting master clock rate selection to 'automatic'.
Using Volk machine: generic_orc
gain = 38.0
2018-09-03 22:54:02.688683 center_freq 915803375.0 freq 915607810.484 power_db -119.523183691
2018-09-03 22:54:02.688876 center_freq 915803375.0 freq 915614060.484 power_db -119.353687018
2018-09-03 22:54:02.688944 center_freq 915803375.0 freq 915620310.484 power_db -119.124224832
2018-09-03 22:54:02.689013 center_freq 915803375.0 freq 915626560.484 power_db -118.992047605
2018-09-03 22:54:02.689075 center_freq 915803375.0 freq 915632810.484 power_db -118.132234174
2018-09-03 22:54:02.689148 center_freq 915803375.0 freq 915639060.484 power_db -117.155671807
2018-09-03 22:54:02.689211 center_freq 915803375.0 freq 915645310.484 power_db -116.435256128
2018-09-03 22:54:02.689284 center_freq 915803375.0 freq 915651560.484 power_db -116.18333582
2018-09-03 22:54:02.689345 center_freq 915803375.0 freq 915657810.484 power_db -116.011056694
2018-09-03 22:54:02.689419 center_freq 915803375.0 freq 915664060.484 power_db -115.281659173
2018-09-03 22:54:02.689488 center_freq 915803375.0 freq 915670310.484 power_db -114.708548242
2018-09-03 22:54:02.689550 center_freq 915803375.0 freq 915676560.484 power_db -111.456901947
2018-09-03 22:54:02.689615 center_freq 915803375.0 freq 915682810.484 power_db -111.991025037
2018-09-03 22:54:02.689678 center_freq 915803375.0 freq 915689060.484 power_db -113.441112258
2018-09-03 22:54:02.689744 center_freq 915803375.0 freq 915695310.484 power_db -113.226408795
2018-09-03 22:54:02.689805 center_freq 915803375.0 freq 915701560.484 power_db -113.878945571
2018-09-03 22:54:02.689871 center_freq 915803375.0 freq 915707810.484 power_db -113.076674446
2018-09-03 22:54:02.689933 center_freq 915803375.0 freq 915714060.484 power_db -112.501303351
2018-09-03 22:54:02.689999 center_freq 915803375.0 freq 915720310.484 power_db -112.516943987
2018-09-03 22:54:02.690060 center_freq 915803375.0 freq 915726560.484 power_db -111.35765679
2018-09-03 22:54:02.690127 center_freq 915803375.0 freq 915732810.484 power_db -111.030827859
2018-09-03 22:54:02.690188 center_freq 915803375.0 freq 915739060.484 power_db -110.999434289
2018-09-03 22:54:02.690254 center_freq 915803375.0 freq 915745310.484 power_db -111.144789972
2018-09-03 22:54:02.690428 center_freq 915803375.0 freq 915751560.484 power_db -111.239082003
2018-09-03 22:54:02.690497 center_freq 915803375.0 freq 915757810.484 power_db -108.729188343
2018-09-03 22:54:02.690559 center_freq 915803375.0 freq 915764060.484 power_db -109.222923283
2018-09-03 22:54:02.690626 center_freq 915803375.0 freq 915770310.484 power_db -109.514757729
2018-09-03 22:54:02.690687 center_freq 915803375.0 freq 915776560.484 power_db -109.996055361
2018-09-03 22:54:02.690756 center_freq 915803375.0 freq 915782810.484 power_db -108.861063851
2018-09-03 22:54:02.690817 center_freq 915803375.0 freq 915789060.484 power_db -106.50077938
2018-09-03 22:54:02.690884 center_freq 915803375.0 freq 915795310.484 power_db -103.054510603
2018-09-03 22:54:02.690971 center_freq 915803375.0 freq 915801560.484 power_db -101.300639424
2018-09-03 22:54:02.691037 center_freq 915803375.0 freq 915807810.484 power_db -102.704221096
2018-09-03 22:54:02.691098 center_freq 915803375.0 freq 915814060.484 power_db -106.305124846
2018-09-03 22:54:02.691164 center_freq 915803375.0 freq 915820310.484 power_db -108.460611324
2018-09-03 22:54:02.691225 center_freq 915803375.0 freq 915826560.484 power_db -109.195418946
2018-09-03 22:54:02.691291 center_freq 915803375.0 freq 915832810.484 power_db -110.160464597
2018-09-03 22:54:02.691352 center_freq 915803375.0 freq 915839060.484 power_db -110.98538201
2018-09-03 22:54:02.691417 center_freq 915803375.0 freq 915845310.484 power_db -111.171944343
2018-09-03 22:54:02.691479 center_freq 915803375.0 freq 915851560.484 power_db -111.876935799
2018-09-03 22:54:02.691544 center_freq 915803375.0 freq 915857810.484 power_db -111.489102736
2018-09-03 22:54:02.691611 center_freq 915803375.0 freq 915864060.484 power_db -110.608153952
2018-09-03 22:54:02.691672 center_freq 915803375.0 freq 915870310.484 power_db -112.674933832
2018-09-03 22:54:02.691738 center_freq 915803375.0 freq 915876560.484 power_db -112.321610453
2018-09-03 22:54:02.691903 center_freq 915803375.0 freq 915882810.484 power_db -113.236159025
2018-09-03 22:54:02.691966 center_freq 915803375.0 freq 915889060.484 power_db -113.109631821
2018-09-03 22:54:02.692032 center_freq 915803375.0 freq 915895310.484 power_db -112.603259632
2018-09-03 22:54:02.692300 center_freq 915803375.0 freq 915901560.484 power_db -112.999382074
2018-09-03 22:54:02.692374 center_freq 915803375.0 freq 915907810.484 power_db -113.415401175
2018-09-03 22:54:02.692436 center_freq 915803375.0 freq 915914060.484 power_db -113.291517929
2018-09-03 22:54:02.692502 center_freq 915803375.0 freq 915920310.484 power_db -112.620815276
2018-09-03 22:54:02.692563 center_freq 915803375.0 freq 915926560.484 power_db -114.068491097
2018-09-03 22:54:02.692630 center_freq 915803375.0 freq 915932810.484 power_db -113.777235282
2018-09-03 22:54:02.692692 center_freq 915803375.0 freq 915939060.484 power_db -116.593030707
2018-09-03 22:54:02.692757 center_freq 915803375.0 freq 915945310.484 power_db -116.373321932
2018-09-03 22:54:02.692818 center_freq 915803375.0 freq 915951560.484 power_db -115.00794699
2018-09-03 22:54:02.692884 center_freq 915803375.0 freq 915957810.484 power_db -117.470430886
2018-09-03 22:54:02.692945 center_freq 915803375.0 freq 915964060.484 power_db -116.975088454
2018-09-03 22:54:02.693011 center_freq 915803375.0 freq 915970310.484 power_db -118.192454419
2018-09-03 22:54:02.693072 center_freq 915803375.0 freq 915976560.484 power_db -118.279022484
2018-09-03 22:54:02.693137 center_freq 915803375.0 freq 915982810.484 power_db -119.608678702
2018-09-03 22:54:02.693198 center_freq 915803375.0 freq 915989060.484 power_db -119.192591915
2018-09-03 22:54:03.187642 center_freq 915803375.0 freq 915607810.484 power_db -120.370625143
2018-09-03 22:54:03.187806 center_freq 915803375.0 freq 915614060.484 power_db -120.411668282
2018-09-03 22:54:03.187872 center_freq 915803375.0 freq 915620310.484 power_db -118.877925509
2018-09-03 22:54:03.187939 center_freq 915803375.0 freq 915626560.484 power_db -117.369756468
2018-09-03 22:54:03.188002 center_freq 915803375.0 freq 915632810.484 power_db -117.773691281
2018-09-03 22:54:03.188068 center_freq 915803375.0 freq 915639060.484 power_db -116.332398135
2018-09-03 22:54:03.188135 center_freq 915803375.0 freq 915645310.484 power_db -116.143707809
2018-09-03 22:54:03.188197 center_freq 915803375.0 freq 915651560.484 power_db -117.014817118
2018-09-03 22:54:03.188264 center_freq 915803375.0 freq 915657810.484 power_db -116.156505216
2018-09-03 22:54:03.188327 center_freq 915803375.0 freq 915664060.484 power_db -116.526888047
2018-09-03 22:54:03.188393 center_freq 915803375.0 freq 915670310.484 power_db -116.306786586
2018-09-03 22:54:03.188455 center_freq 915803375.0 freq 915676560.484 power_db -115.221291192
2018-09-03 22:54:03.188521 center_freq 915803375.0 freq 915682810.484 power_db -114.220529024
2018-09-03 22:54:03.188583 center_freq 915803375.0 freq 915689060.484 power_db -114.265632638
2018-09-03 22:54:03.188651 center_freq 915803375.0 freq 915695310.484 power_db -114.137247043
2018-09-03 22:54:03.188736 center_freq 915803375.0 freq 915701560.484 power_db -113.788625642
2018-09-03 22:54:03.188804 center_freq 915803375.0 freq 915707810.484 power_db -112.900719543
2018-09-03 22:54:03.188875 center_freq 915803375.0 freq 915714060.484 power_db -113.472884323
2018-09-03 22:54:03.188941 center_freq 915803375.0 freq 915720310.484 power_db -113.534534548
2018-09-03 22:54:03.189007 center_freq 915803375.0 freq 915726560.484 power_db -112.345485448
2018-09-03 22:54:03.189068 center_freq 915803375.0 freq 915732810.484 power_db -111.467957229
2018-09-03 22:54:03.189134 center_freq 915803375.0 freq 915739060.484 power_db -111.361085576
