linux; GNU C++ version 5.3.1 20151219; Boost_105800; UHD_003.009.002-0-unknown

-- Detected Device: B210
-- Operating over USB 2.
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 16.000000 MHz... 
-- Actually got clock rate 16.000000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
-- Setting master clock rate selection to 'automatic'.
Using Volk machine: generic_orc
gain = 38.0
2018-09-03 22:57:35.367571 center_freq 915803375.0 freq 915614060.484 power_db -120.182873714
2018-09-03 22:57:35.367641 center_freq 915803375.0 freq 915620310.484 power_db -120.173979368
2018-09-03 22:57:35.367702 center_freq 915803375.0 freq 915626560.484 power_db -118.028093662
2018-09-03 22:57:35.367769 center_freq 915803375.0 freq 915632810.484 power_db -116.77134373
2018-09-03 22:57:35.367829 center_freq 915803375.0 freq 915639060.484 power_db -118.029186387
2018-09-03 22:57:35.367902 center_freq 915803375.0 freq 915645310.484 power_db -117.009298781
2018-09-03 22:57:35.367963 center_freq 915803375.0 freq 915651560.484 power_db -116.940277185
2018-09-03 22:57:35.368032 center_freq 915803375.0 freq 915657810.484 power_db -115.945780715
2018-09-03 22:57:35.368093 center_freq 915803375.0 freq 915664060.484 power_db -115.545999891
2018-09-03 22:57:35.368162 center_freq 915803375.0 freq 915670310.484 power_db -114.265416536
2018-09-03 22:57:35.368222 center_freq 915803375.0 freq 915676560.484 power_db -114.469349242
2018-09-03 22:57:35.368293 center_freq 915803375.0 freq 915682810.484 power_db -114.616475944
2018-09-03 22:57:35.368354 center_freq 915803375.0 freq 915689060.484 power_db -114.624691345
2018-09-03 22:57:35.368424 center_freq 915803375.0 freq 915695310.484 power_db -113.643009356
2018-09-03 22:57:35.368485 center_freq 915803375.0 freq 915701560.484 power_db -114.034646156
2018-09-03 22:57:35.368558 center_freq 915803375.0 freq 915707810.484 power_db -112.337464129
2018-09-03 22:57:35.368619 center_freq 915803375.0 freq 915714060.484 power_db -113.176467122
2018-09-03 22:57:35.368686 center_freq 915803375.0 freq 915720310.484 power_db -112.779598043
2018-09-03 22:57:35.368746 center_freq 915803375.0 freq 915726560.484 power_db -112.891706702
2018-09-03 22:57:35.368811 center_freq 915803375.0 freq 915732810.484 power_db -111.998647252
2018-09-03 22:57:35.368871 center_freq 915803375.0 freq 915739060.484 power_db -112.114182469
2018-09-03 22:57:35.368935 center_freq 915803375.0 freq 915745310.484 power_db -111.367213894
2018-09-03 22:57:35.368995 center_freq 915803375.0 freq 915751560.484 power_db -111.766174258
2018-09-03 22:57:35.369060 center_freq 915803375.0 freq 915757810.484 power_db -111.071744742
2018-09-03 22:57:35.369121 center_freq 915803375.0 freq 915764060.484 power_db -109.67559985
2018-09-03 22:57:35.369301 center_freq 915803375.0 freq 915770310.484 power_db -111.212448269
2018-09-03 22:57:35.369363 center_freq 915803375.0 freq 915776560.484 power_db -109.710861741
2018-09-03 22:57:35.369428 center_freq 915803375.0 freq 915782810.484 power_db -108.736424184
2018-09-03 22:57:35.369488 center_freq 915803375.0 freq 915789060.484 power_db -107.509402894
2018-09-03 22:57:35.369553 center_freq 915803375.0 freq 915795310.484 power_db -101.925236459
2018-09-03 22:57:35.369612 center_freq 915803375.0 freq 915801560.484 power_db -99.3750487836
2018-09-03 22:57:35.369677 center_freq 915803375.0 freq 915807810.484 power_db -102.069221663
2018-09-03 22:57:35.369737 center_freq 915803375.0 freq 915814060.484 power_db -106.355031418
2018-09-03 22:57:35.369902 center_freq 915803375.0 freq 915820310.484 power_db -108.219914927
2018-09-03 22:57:35.369966 center_freq 915803375.0 freq 915826560.484 power_db -109.493472148
2018-09-03 22:57:35.370036 center_freq 915803375.0 freq 915832810.484 power_db -110.997533116
2018-09-03 22:57:35.370097 center_freq 915803375.0 freq 915839060.484 power_db -110.975173106
2018-09-03 22:57:35.370163 center_freq 915803375.0 freq 915845310.484 power_db -110.975922289
2018-09-03 22:57:35.370223 center_freq 915803375.0 freq 915851560.484 power_db -109.557261894
2018-09-03 22:57:35.370287 center_freq 915803375.0 freq 915857810.484 power_db -110.281049372
2018-09-03 22:57:35.370348 center_freq 915803375.0 freq 915864060.484 power_db -112.200115738
2018-09-03 22:57:35.370413 center_freq 915803375.0 freq 915870310.484 power_db -112.839781627
2018-09-03 22:57:35.370474 center_freq 915803375.0 freq 915876560.484 power_db -113.023397521
2018-09-03 22:57:35.370540 center_freq 915803375.0 freq 915882810.484 power_db -112.804962913
2018-09-03 22:57:35.370605 center_freq 915803375.0 freq 915889060.484 power_db -113.160175903
2018-09-03 22:57:35.370670 center_freq 915803375.0 freq 915895310.484 power_db -113.839069521
2018-09-03 22:57:35.370731 center_freq 915803375.0 freq 915901560.484 power_db -113.467545249
2018-09-03 22:57:35.370796 center_freq 915803375.0 freq 915907810.484 power_db -114.164638124
2018-09-03 22:57:35.370856 center_freq 915803375.0 freq 915914060.484 power_db -113.245858882
2018-09-03 22:57:35.370921 center_freq 915803375.0 freq 915920310.484 power_db -114.532512736
2018-09-03 22:57:35.370981 center_freq 915803375.0 freq 915926560.484 power_db -114.997170168
2018-09-03 22:57:35.371046 center_freq 915803375.0 freq 915932810.484 power_db -114.827577696
2018-09-03 22:57:35.371107 center_freq 915803375.0 freq 915939060.484 power_db -115.175217245
2018-09-03 22:57:35.371171 center_freq 915803375.0 freq 915945310.484 power_db -115.71969156
2018-09-03 22:57:35.371232 center_freq 915803375.0 freq 915951560.484 power_db -116.789411158
2018-09-03 22:57:35.371298 center_freq 915803375.0 freq 915957810.484 power_db -116.351815427
2018-09-03 22:57:35.371358 center_freq 915803375.0 freq 915964060.484 power_db -117.303874098
2018-09-03 22:57:35.371423 center_freq 915803375.0 freq 915970310.484 power_db -116.696284545
2018-09-03 22:57:35.371483 center_freq 915803375.0 freq 915976560.484 power_db -117.658819049
2018-09-03 22:57:35.371547 center_freq 915803375.0 freq 915982810.484 power_db -118.177706876
2018-09-03 22:57:35.371607 center_freq 915803375.0 freq 915989060.484 power_db -119.440173399
2018-09-03 22:57:35.866413 center_freq 915803375.0 freq 915607810.484 power_db -120.125030696
2018-09-03 22:57:35.866574 center_freq 915803375.0 freq 915614060.484 power_db -119.203549866
2018-09-03 22:57:35.866639 center_freq 915803375.0 freq 915620310.484 power_db -119.210395305
2018-09-03 22:57:35.866705 center_freq 915803375.0 freq 915626560.484 power_db -118.763303149
2018-09-03 22:57:35.866766 center_freq 915803375.0 freq 915632810.484 power_db -118.24160752
2018-09-03 22:57:35.866831 center_freq 915803375.0 freq 915639060.484 power_db -117.572992043
2018-09-03 22:57:35.866892 center_freq 915803375.0 freq 915645310.484 power_db -116.318684057
2018-09-03 22:57:35.867075 center_freq 915803375.0 freq 915651560.484 power_db -117.173666935
